,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-18,116.16999799999999,117.610001,116.050003,117.57,116.034782,31207600
1,2019-03-19,118.089996,118.440002,116.989998,117.650002,116.113747,37588700
2,2019-03-20,117.389999,118.75,116.709999,117.519997,115.98544299999999,28113300
3,2019-03-21,117.139999,120.82,117.089996,120.220001,118.65019199999999,29854400
4,2019-03-22,119.5,119.589996,117.040001,117.050003,115.521576,33624500
5,2019-03-25,116.559998,118.010002,116.32,117.660004,116.123627,27067100
6,2019-03-26,118.620003,118.709999,116.849998,117.910004,116.370346,26097700
7,2019-03-27,117.879997,118.209999,115.519997,116.769997,115.245224,22733400
8,2019-03-28,117.440002,117.58000200000001,116.129997,116.93,115.403145,18334800
9,2019-03-29,118.07,118.32,116.959999,117.940002,116.39996299999999,25399800
10,2019-04-01,118.949997,119.110001,118.099998,119.019997,117.46585800000001,22789100
11,2019-04-02,119.059998,119.480003,118.519997,119.190002,117.63363600000001,18142300
12,2019-04-03,119.860001,120.43,119.150002,119.970001,118.403458,22860700
13,2019-04-04,120.099998,120.230003,118.379997,119.360001,117.801422,20112800
14,2019-04-05,119.389999,120.230003,119.370003,119.889999,118.32449299999999,15826200
15,2019-04-08,119.809998,120.019997,118.639999,119.93,118.363968,15116200
16,2019-04-09,118.629997,119.540001,118.58000200000001,119.279999,117.72245,17612000
17,2019-04-10,119.760002,120.349998,119.540001,120.190002,118.62058300000001,16477200
18,2019-04-11,120.540001,120.849998,119.91999799999999,120.33000200000001,118.758751,14209100
19,2019-04-12,120.639999,120.980003,120.370003,120.949997,119.370651,19745100
20,2019-04-15,120.940002,121.58000200000001,120.57,121.050003,119.469353,15792600
21,2019-04-16,121.639999,121.650002,120.099998,120.769997,119.193001,14071800
22,2019-04-17,121.239998,121.849998,120.540001,121.769997,120.179947,19300900
23,2019-04-18,122.190002,123.519997,121.300003,123.370003,121.759056,27991000
24,2019-04-22,122.620003,124.0,122.57,123.760002,122.14395900000001,15648700
25,2019-04-23,124.099998,125.58000200000001,123.83000200000001,125.440002,123.80203200000001,24025500
26,2019-04-24,125.790001,125.849998,124.519997,125.010002,123.377647,31257000
27,2019-04-25,130.059998,131.369995,128.830002,129.149994,127.463577,38033900
28,2019-04-26,129.699997,130.520004,129.020004,129.889999,128.19390900000002,23654900
29,2019-04-29,129.899994,130.179993,129.350006,129.770004,128.07548500000001,16324200
30,2019-04-30,129.809998,130.699997,129.389999,130.600006,128.894653,24166500
31,2019-05-01,130.529999,130.649994,127.699997,127.879997,126.210159,26821700
32,2019-05-02,127.980003,128.0,125.519997,126.209999,124.561966,27350200
33,2019-05-03,127.360001,129.429993,127.25,128.899994,127.216843,24911100
34,2019-05-06,126.389999,128.559998,126.110001,128.149994,126.476624,24239800
35,2019-05-07,126.459999,127.18,124.220001,125.519997,123.88096599999999,36017700
36,2019-05-08,125.440002,126.370003,124.75,125.510002,123.871117,28419000
37,2019-05-09,124.290001,125.790001,123.57,125.5,123.861244,27235800
38,2019-05-10,124.910004,127.93,123.82,127.129997,125.469955,30915100
39,2019-05-13,124.110001,125.550003,123.040001,123.349998,121.73931100000001,33944900
40,2019-05-14,123.870003,125.879997,123.699997,124.730003,123.101303,25266300
41,2019-05-15,124.260002,126.709999,123.699997,126.019997,124.83483899999999,24722700
42,2019-05-16,126.75,129.380005,126.459999,128.929993,127.717468,30112200
43,2019-05-17,128.309998,130.46000700000002,127.91999799999999,128.070007,126.86556999999999,25770500
44,2019-05-20,126.519997,127.589996,125.760002,126.220001,125.032967,23706900
45,2019-05-21,127.43,127.529999,126.58000200000001,126.900002,125.70657299999999,15293300
46,2019-05-22,126.620003,128.240005,126.519997,127.66999799999999,126.46932199999999,15396500
47,2019-05-23,126.199997,126.290001,124.739998,126.18,124.99333999999999,23603800
